2022-05-20 12:05:558 INFO  NewAndUsedCarSearchPage :74 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (3f2fd462a629172c41da12779598e197)] -> id: search-submit]
2022-05-20 12:05:206 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:573 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (4d4dd4fc2b3a743a004adb2d6f1e2efe)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:638 INFO  HomePage :36 - Clicking on SearchCars link[[ChromeDriver: chrome on WINDOWS (4d4dd4fc2b3a743a004adb2d6f1e2efe)] -> xpath: //a[contains(text(),'Search Cars')]]
2022-05-20 12:05:198 INFO  NewAndUsedCarSearchPage :45 - Verifying New Page Message [[ChromeDriver: chrome on WINDOWS (4d4dd4fc2b3a743a004adb2d6f1e2efe)] -> xpath: //div[@class='heading main-heading item-ad-wrapper ']/h1]
2022-05-20 12:05:93 INFO  NewAndUsedCarSearchPage :51 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (4d4dd4fc2b3a743a004adb2d6f1e2efe)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:28 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:886 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:959 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> link text: Used]
2022-05-20 12:05:607 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:724 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> xpath: //select[@id='models']]
2022-05-20 12:05:779 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:830 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:604 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (8c1c72c97637a8f3fd21a4ad5b399c73)] -> id: search-submit]
2022-05-20 12:05:250 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:348 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> xpath: //a[contains(text(),'buy + sell')]]
2022-05-20 12:05:892 INFO  HomePage :40 - Clicking On Used Link[[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> link text: Used]
2022-05-20 12:05:65 INFO  UsedCarsForSalePage :46 - Selecting choice of car make [[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> xpath: //select[@id='makes']]
2022-05-20 12:05:177 INFO  UsedCarsForSalePage :51 - Selecting Model Of Car [[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> xpath: //select[@id='models']]
2022-05-20 12:05:236 INFO  UsedCarsForSalePage :56 - Selecting Location Of Car [[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> xpath: //select[@id='locations']]
2022-05-20 12:05:288 INFO  UsedCarsForSalePage :61 - Selecting Price Of Car [[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> xpath: //select[@id='priceTo']]
2022-05-20 12:05:717 INFO  UsedCarsForSalePage :66 - Checking If Searched Criteria Matches[[ChromeDriver: chrome on WINDOWS (56732cc102e31c56a9eef9370b4cb9d8)] -> id: search-submit]
2022-05-20 12:05:380 INFO  ManageDriver :32 - Launching Chrome Browser
2022-05-20 12:05:598 INFO  HomePage :32 - Clicking on Buy+Sell tab [[ChromeDriver: chrome on WINDOWS (cd0bb8eea058f35fd1946c124a7bd717)] -> xpath: //a[contains(text(),'buy + sell')]]
